"","addit1","addit2","addit3","addit4","addit5","addit6","addit7","addit8","subtr1","subtr2","subtr3","subtr4","subtr5","subtr6","subtr7","subtr8","class","time"
"36",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",27
"37",1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,"second",34
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",23
"39",1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,"second",26
"40",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",28
"41",1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,"second",26
"42",1,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,"second",30
"43",1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,"second",30
"44",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,"second",25
"45",1,1,1,1,0,0,1,0,1,1,1,1,1,0,0,1,"second",25
"46",1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,"second",24
"47",1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,"second",31
"48",1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,"second",29
"49",1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,"second",31
"50",1,1,0,1,1,1,1,0,1,1,0,0,1,0,0,0,"second",27
"51",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"second",36
"52",0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,1,"second",36
"53",0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"second",35
"54",1,1,1,0,0,1,1,0,1,1,0,1,1,0,0,0,"second",35
"55",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,"second",29
"56",1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,"second",35
"57",1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,1,"second",36
"58",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"second",44
"59",1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,"second",27
"60",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,"second",26
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",23
"62",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,"second",24
"63",0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,"second",29
"64",1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,"second",32
"65",1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,"second",28
"66",1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,"second",25
"67",1,1,1,1,0,0,1,0,1,1,0,1,1,0,0,1,"second",37
"68",1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,"second",30
"69",1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,"second",24
"70",0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,"second",37
"71",1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,"second",37
"72",1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,"second",32
"73",0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,"second",32
"74",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"second",37
"75",1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,"second",33
"76",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",31
"77",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,"second",32
"78",1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,"second",36
"79",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,"second",37
"80",1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,1,"second",32
"81",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,"second",33
"82",1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,"second",36
"83",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,"second",27
"84",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"second",26
"85",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"second",29
"86",1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,"second",35
"87",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"second",25
"88",1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,"second",33
"89",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"second",29
"90",1,1,0,0,1,0,0,0,1,1,1,1,1,0,0,1,"second",32
"91",1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,"second",29
"92",0,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,"second",35
"93",0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,"second",31
"94",1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,"second",31
"95",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"second",20
"96",1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,"second",26
"97",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,"second",29
"98",1,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,"second",33
"99",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,"second",29
"100",1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,"second",30
"101",1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,"second",24
"102",1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,"second",29
"103",1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,"second",30
"104",1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,0,"second",32
"105",1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"second",32
"106",1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,"second",36
"107",1,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,"second",31
"108",1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,"second",31
"109",1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,"second",36
"110",1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,1,"second",37
"111",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,"second",24
"112",1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,"second",28
"113",1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,"second",38
"114",1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,"second",28
"115",0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"second",37
"116",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,"second",29
"117",1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,"second",28
"118",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"second",35
"119",1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,"second",33
"120",1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,"second",33
"121",1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,"second",27
"122",1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,"second",35
"123",1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,"third",27
"124",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",25
"125",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"third",24
"126",1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,1,"third",25
"127",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"third",23
"128",1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,"third",27
"129",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"third",22
"130",1,1,0,1,0,0,1,1,1,1,0,1,1,0,0,1,"third",26
"131",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",24
"132",1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,"third",34
"133",1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,"third",28
"134",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"third",31
"135",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,"third",29
"136",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",27
"137",1,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,"third",34
"138",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",26
"139",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,"third",30
"140",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"third",35
"141",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,"third",36
"142",1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,"third",41
"143",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"third",28
"144",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",26
"145",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"third",33
"146",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"third",30
"147",1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,"third",21
"148",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"third",21
"149",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"third",22
"150",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"third",24
"151",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",27
"152",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,"third",26
"153",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",29
"154",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",27
"155",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"third",25
"156",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,"third",30
"157",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,"third",22
"158",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"third",29
"159",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,"third",29
"160",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"third",22
"161",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",21
"162",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",20
"163",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"third",21
"164",1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,"third",20
"165",0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,1,"third",27
"166",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",22
"167",1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,"third",23
"168",1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,"third",22
"169",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",23
"170",1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,"third",23
"171",1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,"third",22
"172",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"third",24
"173",1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,"third",24
"174",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",31
"175",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"third",22
"176",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"third",30
"177",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,"third",22
"178",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",25
"179",1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,"third",23
"180",1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,"third",26
"181",1,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,"third",25
"182",1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,"third",26
"183",1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,"third",26
"184",1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,"third",27
"185",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"third",27
"186",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",20
"187",1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,"third",24
"188",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"third",26
"189",1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,"third",24
"190",1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,1,"third",28
"191",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,"third",25
"192",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"third",26
"193",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",27
"194",1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,1,"third",26
"195",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,"third",28
"196",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"third",29
"197",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,"third",25
"198",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"third",24
"199",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",22
"200",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",24
"201",0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"third",20
"202",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,"third",25
"203",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",29
"204",1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,"third",21
"205",1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0,"third",19
"206",1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,"third",29
"207",1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,"third",27
"208",1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,"third",27
"209",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"third",25
"210",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"third",30
"211",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",19
"212",1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,"third",19
"213",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"third",23
"214",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",22
"215",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"third",20
"216",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"third",23
"217",1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,"third",23
"218",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,"third",33
"219",0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,"third",21
"220",1,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,"third",28
"221",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"third",27
"222",1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,"fourth",23
"223",1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,"fourth",27
"224",1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,"fourth",22
"225",1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,"fourth",29
"226",1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,"fourth",22
"227",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",22
"228",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,"fourth",24
"229",1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,"fourth",20
"230",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"fourth",20
"231",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",23
"232",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,"fourth",22
"233",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"fourth",22
"234",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",18
"235",1,1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,"fourth",22
"236",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",21
"237",1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,"fourth",22
"238",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,"fourth",21
"239",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",21
"240",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",23
"241",1,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,"fourth",22
"242",1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,"fourth",23
"243",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",26
"244",1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"fourth",29
"245",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,"fourth",22
"246",1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,"fourth",28
"247",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",19
"248",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",25
"249",1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,"fourth",27
"250",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"fourth",25
"251",1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"fourth",21
"252",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"fourth",20
"253",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,"fourth",26
"254",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",24
"255",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"fourth",24
"256",1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,"fourth",31
"257",1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,"fourth",24
"258",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"fourth",26
"259",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,"fourth",22
"260",1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,"fourth",30
"261",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"fourth",26
"262",1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,"fourth",33
"263",1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,"fourth",31
"264",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,"fourth",24
"265",1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,"fourth",24
"266",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"fourth",23
"267",1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,"fourth",29
"268",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"fourth",27
"269",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",25
"270",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"fourth",23
"271",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",31
"272",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"fourth",27
"273",1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,"fourth",34
"274",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,"fourth",25
"275",1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,"fourth",21
"276",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"fourth",30
"277",1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,"fourth",27
"278",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"fourth",28
"279",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",20
"280",1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,"fourth",25
"281",1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,"fourth",31
"282",0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,"fourth",32
"283",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,"fourth",22
"284",1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,"fourth",31
"285",1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,"fourth",24
"286",1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,"fourth",36
"287",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"fourth",22
"288",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",19
"289",1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,"fourth",20
"290",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",19
"291",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,"fourth",19
"292",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"fourth",24
"293",1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,"fourth",19
"294",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,"fourth",21
"295",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"fourth",28
"296",1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,"fourth",20
"297",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",23
"298",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,"fourth",22
"299",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"fourth",20
"300",0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,"fourth",24
"301",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",18
"302",1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,"fourth",21
"303",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,"fourth",19
"304",1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,"fourth",18
"305",1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,"fourth",22
"306",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,"fourth",29
"307",1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,"fourth",18
"308",1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,"fourth",26
"309",1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,"fourth",20
"310",1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,"fourth",21
"311",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",23
"312",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",22
"313",1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,"fourth",22
"314",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"fourth",21
"315",1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,"fourth",34
"316",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",22
"317",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,"fourth",21
"318",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",16
"319",1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,"fourth",19
"320",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",21
"321",1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,"fourth",17
"322",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",20
"323",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,"fourth",18
"324",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",19
"325",1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,"fourth",22
"326",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",19
"327",1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,"fourth",22
"328",1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,"fourth",20
"329",1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,"fourth",19
"330",1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,"fourth",20
"331",1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,1,"fourth",23
"332",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",18
"333",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"fourth",21
"334",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,"fourth",18
"335",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"fourth",21
"336",1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,0,"fourth",23
"337",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"fourth",20
"338",1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,"fourth",18
"339",1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,"fourth",20
"340",1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,"fourth",21
